Reynold's Cd
0.111033632,259.8259595
0.311534748,86.79447159
1.251418576,24.1510773
3.258269574,10.1380022
10.15064189,4.454608319
23.44929931,2.459648318
71.9685673,1.268161613
224.2070945,0.716405201
510.2608026,0.55722648
861.1224963,0.48585641
1431.674059,0.433415823
2111.909602,0.404708995
2890.93922,0.369368893
8233.498592,0.361027
17130.3499,0.377903533
27641.29854,0.395568975
49522.80037,0.414060204
87409.46087,0.453676237
117876.8635,0.443430332
173884.0473,0.423627483
217601.7269,0.369368893
248945.2798,0.329501308
264288.2907,0.256289113
280576.9229,0.208662518
306911.3765,0.155051578
330735.2764,0.120600527
345908.3446,0.098189148
395733.3007,0.08961505
466478.0026,0.087591168
533669.9231,0.08961505
629073.3667,0.110069417
730527.1543,0.115214711
848342.8982,0.132139222
1061632.062,0.155051578
1348559.553,0.173811843
1738840.473,0.199344003
2208797.205,0.228626719
2848035.868,0.239314082
3357175.352,0.250501035
4393970.561,0.274468219
5581529.787,0.287298483
6881170.798,0.287298483
7990931.404,0.293936804
9561355.82,0.30072851
